day hour dtsum  rainrate node    sso       ss         u        bw        fl      ak        d
106 15  1471.0 0.000E+00  97 0.102E-01 0.105E-01 -.135E-03 0.209E+03   0.195 0.115E+03 0.101E-02

106 15  1471.0 0.000E+00  96 0.422E-02 0.746E-02 -.134E-04 0.359E+03   0.078 0.322E+02 0.101E-02

106 15  1799.9 0.000E+00  98 0.982E-02 0.982E-02 -.111E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 15  1799.9 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 15  1799.9 0.000E+00  96 0.747E-02 0.747E-02 -.135E-04 0.361E+03   0.084 0.323E+02 0.101E-02

day hour dtsum  rainrate node    sso       ss         u        bw        fl      ak        d

106 16     0.0 0.000E+00  98 0.982E-02 0.982E-02 -.111E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     0.0 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     0.0 0.000E+00  96 0.747E-02 0.747E-02 -.135E-04 0.361E+03   0.084 0.323E+02 0.101E-02

106 16     0.1 0.000E+00  98 0.982E-02 0.982E-02 -.111E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     0.1 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     0.1 0.000E+00  96 0.747E-02 0.747E-02 -.135E-04 0.361E+03   0.084 0.323E+02 0.101E-02

106 16     0.2 0.000E+00  98 0.982E-02 0.982E-02 -.111E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     0.2 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     0.2 0.000E+00  96 0.747E-02 0.747E-02 -.135E-04 0.361E+03   0.084 0.323E+02 0.101E-02

106 16     0.4 0.000E+00  98 0.982E-02 0.982E-02 -.111E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     0.4 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     0.4 0.000E+00  96 0.747E-02 0.748E-02 -.135E-04 0.361E+03   0.084 0.323E+02 0.101E-02

106 16     0.6 0.000E+00  98 0.982E-02 0.982E-02 -.111E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     0.6 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     0.6 0.000E+00  96 0.748E-02 0.748E-02 -.135E-04 0.361E+03   0.084 0.323E+02 0.101E-02

106 16     0.9 0.000E+00  98 0.982E-02 0.982E-02 -.111E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     0.9 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     0.9 0.000E+00  96 0.748E-02 0.748E-02 -.135E-04 0.361E+03   0.084 0.323E+02 0.101E-02

106 16     1.1 0.000E+00  98 0.982E-02 0.982E-02 -.111E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     1.1 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     1.1 0.000E+00  96 0.748E-02 0.749E-02 -.136E-04 0.361E+03   0.084 0.323E+02 0.101E-02

106 16     1.5 0.000E+00  98 0.982E-02 0.982E-02 -.111E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     1.5 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     1.5 0.000E+00  96 0.749E-02 0.749E-02 -.136E-04 0.361E+03   0.084 0.323E+02 0.101E-02

106 16     1.9 0.000E+00  98 0.982E-02 0.982E-02 -.111E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     1.9 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     1.9 0.000E+00  96 0.749E-02 0.750E-02 -.136E-04 0.361E+03   0.084 0.323E+02 0.101E-02

106 16     2.5 0.000E+00  98 0.982E-02 0.982E-02 -.111E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     2.5 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     2.5 0.000E+00  96 0.750E-02 0.750E-02 -.137E-04 0.361E+03   0.084 0.323E+02 0.101E-02

106 16     3.2 0.000E+00  98 0.982E-02 0.982E-02 -.111E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     3.2 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     3.2 0.000E+00  96 0.750E-02 0.751E-02 -.137E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16     4.1 0.000E+00  98 0.982E-02 0.982E-02 -.111E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     4.1 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     4.1 0.000E+00  96 0.751E-02 0.752E-02 -.138E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16     5.0 0.000E+00  98 0.982E-02 0.983E-02 -.112E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     5.0 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     5.0 0.000E+00  96 0.752E-02 0.753E-02 -.138E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16     6.3 0.000E+00  98 0.983E-02 0.983E-02 -.112E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     6.3 0.000E+00  97 0.105E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     6.3 0.000E+00  96 0.753E-02 0.755E-02 -.139E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16     7.7 0.000E+00  98 0.983E-02 0.983E-02 -.112E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     7.7 0.000E+00  97 0.105E-01 0.106E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     7.7 0.000E+00  96 0.755E-02 0.757E-02 -.140E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16     9.7 0.000E+00  98 0.983E-02 0.983E-02 -.112E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16     9.7 0.000E+00  97 0.106E-01 0.106E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16     9.7 0.000E+00  96 0.757E-02 0.759E-02 -.141E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16    11.8 0.000E+00  98 0.983E-02 0.984E-02 -.112E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16    11.8 0.000E+00  97 0.106E-01 0.106E-01 -.136E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16    11.8 0.000E+00  96 0.759E-02 0.762E-02 -.143E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16    14.8 0.000E+00  98 0.984E-02 0.984E-02 -.112E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16    14.8 0.000E+00  97 0.106E-01 0.106E-01 -.136E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16    14.8 0.000E+00  96 0.762E-02 0.765E-02 -.145E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16    17.9 0.000E+00  98 0.984E-02 0.985E-02 -.112E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16    17.9 0.000E+00  97 0.106E-01 0.106E-01 -.136E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16    17.9 0.000E+00  96 0.765E-02 0.769E-02 -.147E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16    22.5 0.000E+00  98 0.985E-02 0.985E-02 -.112E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16    22.5 0.000E+00  97 0.106E-01 0.106E-01 -.136E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16    22.5 0.000E+00  96 0.769E-02 0.774E-02 -.150E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16    27.1 0.000E+00  98 0.985E-02 0.986E-02 -.113E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16    27.1 0.000E+00  97 0.106E-01 0.106E-01 -.136E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16    27.1 0.000E+00  96 0.774E-02 0.781E-02 -.154E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16    34.0 0.000E+00  98 0.986E-02 0.986E-02 -.113E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16    34.0 0.000E+00  97 0.106E-01 0.106E-01 -.137E-03 0.209E+03   0.196 0.115E+03 0.101E-02

106 16    34.0 0.000E+00  96 0.781E-02 0.788E-02 -.158E-04 0.361E+03   0.084 0.324E+02 0.101E-02

106 16    40.9 0.000E+00  98 0.986E-02 0.987E-02 -.113E-03 0.206E+03   0.197 0.118E+03 0.101E-02

